bin,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,-0.02514461411240454,1.2607849817315406,1.3003961793491507,1.0767332068589095,0.20225379220102813,0.16878588832129449,0.3765804458777469,-0.0746891294932377,-0.2255846845705767,-0.0661332915947801,-0.034497987187943835,0.2611684429962136,0.09396962707266976,0.02812768807938504,-0.09229274392419562,0.06870139533543274,-0.3233610043981692,-0.4685065319966153,-0.3429481281535409,-0.13809548738683475,-0.5817573760386271,-0.06357186260926095,0.0271079090801285,-0.2641879446478672
1,-0.031054059810717405,1.1297318055970835,1.130031798712852,1.0678485045121402,0.2501468386236043,0.5594862805653698,0.3513987755690993,0.006263242128533797,-0.07111711867232008,0.12878795562837286,0.10285772084470056,0.19330736250726765,-0.02422671151407041,-0.0958567347318784,0.14564546184872906,-0.005719469347466699,-0.40620232151085744,-0.4578028032018766,-0.3093042536213177,-0.16614711802782536,-0.5290402473649021,0.13129173664403293,0.32119913860618965,0.14032875215180596
2,0.022618154708291986,0.7611898159336024,1.034109891518173,1.2440217334155612,0.6336649774683476,0.5906016450350426,0.4008315736547043,0.07306495482894437,0.2005051553898305,0.2336798299735703,0.19563488446070032,0.2124931896827276,0.15614599395735065,-0.1032274781005622,0.2461225815158068,0.07917974288120178,-0.3909046680640529,-0.29790900005454635,-0.3309068161321811,-0.2237037400530797,-0.3629394530516583,0.3380598780692967,0.5170276465586756,0.41688333544719214
3,0.0017765139738266102,0.7638468540088361,1.1615768867073273,1.19362142963688,0.7180675861771553,0.4534796011294908,0.3403612338802189,0.0676189587929521,0.08313665647754488,0.04527579368168677,0.19097996689293684,0.15374281218070251,0.13385101219924245,-0.2678813366544457,0.22156760205735535,-0.10750840678157214,-0.4161356293306495,-0.2297658336970949,-0.277760170157122,-0.24297670950480565,-0.1320847741892477,0.5534150789596959,0.5562684554154806,0.7423788591888183
4,-0.11388855158509248,0.7214776014655541,0.7522570103359296,0.9267012499350384,0.6465769020524146,0.2969123104063609,0.2072634426226676,-0.06849008302778259,0.049086023956285814,-0.05432112329469874,0.1531030389583039,0.19485169710463435,0.15268829640194248,-0.35282941872996965,0.0761728070507921,-0.040623933270495634,-0.3341017097610912,-0.1435493295515764,-0.2449562874170059,-0.2567436042907394,0.039336164838132966,0.8476004577969194,0.7963891874213997,1.249402612456823
5,-0.07114629237568337,0.6107406018396668,0.8022408439788036,1.0163486503503227,0.42099866072850745,0.25972115151686914,0.1094095915372062,0.10688393014446083,0.23453717900896984,-0.020722559458765662,0.1660371480339693,0.22927052535187895,0.08822138952103042,-0.3841706305553414,0.16040937940710887,-0.05890362016568052,-0.2438129548742456,-0.21044868060634855,-0.29063157602197265,-0.2020655391975641,-0.0270609451312982,0.9847344353350004,0.7144469414229038,1.7099612761961032
6,-0.09685412795746906,0.5637916921456565,0.7153365496647028,0.7614061993294392,0.32126301129251456,0.09729985764478233,0.18466463890390367,-0.0014089075016450179,0.13832679070671272,0.01184497276898977,0.24217563644797124,0.16957977101056532,0.02083361049276977,-0.4842152495532277,0.11506732378521355,0.11519514103252605,-0.15848397325330055,-0.1541083184387375,-0.27501322721986643,-0.2659566183439406,0.11054685283391663,0.9823491623811372,0.7675502993132906,2.2054692288394104
7,-0.11374327742432212,0.4813038318800196,0.7143111613832627,0.6347011890199248,0.3144362364335373,0.10847637897300276,0.11804383571599875,-0.03199812157215387,0.14894987265024984,-0.050142274695794235,0.1235613262438804,0.07626751633341211,-0.023508556324179253,-0.6088980179214278,-0.09557121230000476,-0.00013877150685370765,-0.17371182666551022,-0.12681207994125554,-0.3184271748689884,-0.3656392570405807,0.09695473614007444,0.7138371689628951,0.8307171604048769,2.5895149465698846
8,-0.1478573452088927,0.33605975293471596,0.6000515525137722,0.5965888795404872,0.3515498235980825,0.004923396981876493,0.02062184306134185,0.001683442459935236,0.08816805293227503,-0.009874759428177171,0.04915579733316466,-0.013362343100996377,-0.208327598067422,-0.6137096161612661,-0.1563503148918528,-0.03603145664132423,-0.269882599689522,-0.17405686179664492,-0.2522508259707523,-0.40790173193211293,0.14113491112108356,0.6786947542232973,0.7523425582025061,2.499482559025748
9,-0.2313329678493252,0.08108676499628675,0.2595053800568685,0.3448492967551795,0.18582821978561714,0.028445837384111883,0.1836716634001645,-0.00838587274849889,0.06029358832129982,0.00853154728285066,0.0515555272478343,-0.028184441383677594,-0.3068801786831452,-0.32820595252426266,-0.024497437273147682,-0.2015224140172656,-0.33272910990445315,-0.1771212209386963,-0.2491801180877147,-0.4209177057399218,-0.006553587241298509,0.6624696849606222,0.7630628558381698,1.9395857188487176
